#separator:Pipe
#html:false
#notetype:Basic
#deck:ML::EDA and Profiling
#tags column:3
#columns:Front|Back|Tags
Which stage does feature-versus-label analysis belong to?|EDA, not profiling. Example: outcome rate by category is exploratory, a null rate is descriptive.|profiling
How do you restrict a profiling report to univariate output?|Disable correlations, interactions and cross-column missingness diagrams. Example: what remains is per-column statistics only.|profiling
How do you check a numeric feature against a binary label?|Correlate it with the 0/1 target, or compare its distribution across the two classes. Example: correlation against a binary outcome is the point-biserial correlation.|screening
How do you check a categorical feature against a binary label?|Compute the outcome rate and the row count within each category. Example: default rate by purpose, with counts so thin categories stay visible.|screening
Why report counts alongside per-group outcome rates?|A rate computed from a handful of rows is noise. Example: a category with 30 members can show almost any rate by chance.|screening
How strong is a correlation of 0.19 with a binary outcome?|Weak to moderate: a real population tendency, not a per-case prediction. Example: the strongest single feature in a credit dataset often sits below 0.2.|screening
What is an endogenous feature?|One produced by a decision process that already priced in the outcome risk. Example: a lender-assigned interest rate encodes the lender's own risk assessment rather than causing the risk.|bias
Why treat operator-assigned fields with care?|They are downstream of a human or model judgement, so they proxy someone else's assessment rather than the underlying phenomenon. Example: a price set by risk tier predicts risk almost by construction.|bias
What should a backwards bivariate result trigger?|A hunt for a confounder before the result is believed. Example: the unverified-income group defaulting least, because unverified cases are the small low-risk ones.|bias
What is non-random treatment assignment?|A process applied selectively on characteristics that also affect the outcome. Example: income is verified more often on large applications, so verified cases are larger and riskier before verification even happens.|bias
How do you test whether a group difference is composition rather than effect?|Compare the groups on the suspected confounders first. Example: check average amount and average price across verification groups before trusting the outcome-rate ordering.|bias
